C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,"719,019",NA,NA,NA,NA,NA,"637,968",NA,24
2024,P02,"761,875",NA,NA,NA,NA,NA,"675,993",NA,25
2024,P03,"738,066",NA,NA,NA,NA,NA,"654,868",NA,24
2024,P04,"828,539",NA,NA,NA,NA,NA,"735,142",NA,27
2024,P05,"809,492",NA,NA,NA,NA,NA,"718,242",NA,27
2024,P06,"828,539",NA,NA,NA,NA,NA,"735,142",NA,27
2024,P07,"819,015",NA,NA,NA,NA,NA,"726,692",NA,27
2024,P08,"819,015",NA,NA,NA,NA,NA,"726,692",NA,27
2024,P09,"790,445",NA,NA,NA,NA,NA,"701,342",NA,26
2024,P10,"799,969",NA,NA,NA,NA,NA,"709,792",NA,27
2024,P11,"790,445",NA,NA,NA,NA,NA,"701,342",NA,26
2024,P12,"819,015",NA,NA,NA,NA,NA,"726,692",NA,27
