C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,20258.59,NA,1899805.50,NA,NA,NA,NA,NA,NA
2024,P02,32335.35,35000,1705838.54,NA,NA,NA,NA,NA,NA
2024,P03,35402.02,NA,1565623.98,NA,NA,NA,NA,NA,NA
2024,P04,32335.35,NA,1678920.08,NA,NA,NA,NA,NA,NA
2024,P05,30258.59,650,1622037.31,NA,NA,NA,NA,NA,NA
2024,P06,35141.41,NA,1533137.23,NA,NA,NA,NA,NA,NA
2024,P07,22334.23,NA,1623694.47,NA,NA,NA,NA,NA,NA
2024,P08,20258.59,NA,1610898.44,NA,NA,NA,NA,NA,NA
2024,P09,30258.59,149,1537487.37,NA,NA,NA,NA,NA,NA
2024,P10,20258.59,NA,1501466.03,NA,NA,NA,NA,NA,NA
2024,P11,20258.59,NA,1529748.67,NA,NA,NA,NA,NA,NA
2024,P12,32335.35,NA,2281088.61,NA,NA,NA,NA,NA,NA
