C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,0,35244.50,223927.50,NA,NA,NA,NA,NA,NA
2024,P02,2400,37000,219772,NA,NA,NA,NA,NA,NA
2024,P03,0,13549,184764,NA,NA,NA,NA,NA,NA
2024,P04,8617,34100,219672,NA,NA,NA,NA,NA,NA
2024,P05,24865,16192,170900,NA,NA,NA,NA,NA,NA
2024,P06,6942,29055,217324,NA,NA,NA,NA,NA,NA
2024,P07,0,8545,182770,NA,NA,NA,NA,NA,NA
2024,P08,40451,38207,173359,NA,NA,NA,NA,NA,NA
2024,P09,17102,32175,222436,NA,NA,NA,NA,NA,NA
2024,P10,14572,72400,322078,NA,NA,NA,NA,NA,NA
2024,P11,8984,46720,335412,NA,NA,NA,NA,NA,NA
2024,P12,9864,37280,248772,NA,NA,NA,NA,NA,NA
