C501;C502;R001-0101;R001-0102;R001-0103;R001-0104;R001-0105;R001-0106;R001-0107
2025;P1;0;4207661.587;0;0;0;0;4511802.262
2025;P2;0;4480040.931;0;0;0;0;6748348.035
2025;P3;0;4148899.532;0;0;0;0;5347278.656
