C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,"22,038",N/A,"1,053,374",N/A,N/A,N/A,N/A,N/A,"625,142"
2024,P02,"20,489",N/A,"836,543",N/A,N/A,N/A,N/A,N/A,"116,969"
2024,P03,"31,494",N/A,"809,826",N/A,N/A,N/A,N/A,N/A,"118,512"
2024,P04,"7,683",N/A,"667,286",N/A,N/A,N/A,N/A,N/A,"116,672"
2024,P05,"7,159",N/A,"633,647",N/A,N/A,N/A,N/A,N/A,"124,098"
2024,P06,"32,254",N/A,"704,542",N/A,N/A,N/A,N/A,N/A,"124,353"
2024,P07,861,N/A,"786,543",N/A,N/A,N/A,N/A,N/A,"123,508"
2024,P08,861,N/A,"1,379,693",N/A,N/A,N/A,N/A,N/A,"126,561"
2024,P09,"5,889",N/A,"1,044,757",N/A,N/A,N/A,N/A,N/A,"127,198"
2024,P10,"3,445",N/A,"764,496",N/A,N/A,N/A,N/A,N/A,"127,884"
2024,P11,"36,171",N/A,"867,088",N/A,N/A,N/A,N/A,N/A,"3,647"
2024,P12,"137,530",N/A,"11,610,670",N/A,N/A,N/A,N/A,N/A,"5,682"
