C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2021,P01,NA,674849.69,9211146.95,9500,2099.94,NA,NA,NA,428.44
2021,P02,NA,900290.53,9419672.21,9500,1291.55,NA,NA,NA,952.73
2021,P03,NA,1033601.98,9770582.28,9500,991.38,NA,NA,NA,1004.91
2021,P04,NA,845064.19,10217464.55,9500,1816.46,NA,NA,NA,269.97
2021,P05,NA,847581.66,10301801.53,9500,40743.56,NA,NA,NA,0
2021,P06,NA,807399.49,10739329.01,9500,6484.48,NA,NA,NA,809.91
2021,P07,NA,911197.12,11002633.82,9500,9257.52,NA,NA,NA,85.34
2021,P08,NA,774622.55,11245043.26,9500,5816.31,NA,NA,NA,241.46
2021,P09,NA,1041333,11363071.62,9500,143936.03,NA,NA,NA,85.34
2021,P10,NA,869278.30,11815891.88,9500,4091.36,NA,NA,NA,0
2021,P11,NA,834724.87,11332748.31,9500,610711.12,NA,NA,NA,0
2021,P12,NA,673606.31,11622417.66,9500,646220.91,NA,NA,NA,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
