C601,C602,R025-0301,R025-0302,R025-0303,R025-0304,R025-0305,R025-0306,R025-0307,R025-0308,R025-0309
2024,P10," Imatech Networks, S.A. de C.V.",no,no,no,no,no,no,no,si
2024,P10," Internet Flow, S.A. de C.V.",no,no,no,no,no,no,no,si
2024,P10, IP3A SOLUTIONS S.A DE C.V,no,no,no,no,no,no,no,si
2024,P10, Más Radio Telecomunicaciones S.A.P.I de C.V.,no,no,no,no,no,no,no,si
2024,P10," MEXTERNET, S.A. de C.V.",no,no,no,no,no,no,no,si
2024,P10," Netmind Solutions, S.A. de C.V.",no,no,no,no,no,no,no,si
2024,P10," ROBOT COMUNICACIONES, S. DE R.L. DE C.V.",no,no,no,no,no,no,no,si
2024,P10, Totalplay Telecomunicaciones S.A. de C.V.,no,no,no,no,no,no,no,si
2024,P10," WIMAX INTERNET, S.A. DE C.V.",no,no,no,no,no,no,no,si
2024,P10,	FORTINET MEXICO S. DE R. L. DE C. V.,no,no,no,no,no,no,no,si
2024,P10,"4 PLAY TELECOM, SA DE CV",no,no,no,no,no,no,no,si
2024,P10,ACE TELECOMUNICACIONES SA DE CV,no,no,no,no,no,no,no,si
2024,P10,ACUMEN TELECOMUNICACIONES SA DE CV,no,no,no,no,no,no,no,si
2024,P10,ADESIS NETLIFE MEXICO SA DE CV,no,no,no,no,no,no,no,si
2024,P10,ADN TELNET,no,no,no,no,no,no,no,si
2024,P10,Adtran Network S.A. De C.V.,no,no,no,no,no,no,no,si
2024,P10,ANEXA TELECOMUNICACIONES SA DE CV,no,no,no,no,no,no,no,si
2024,P10,Argos Comunicacion SA de CV,no,no,no,no,no,no,no,si
2024,P10,"Asesoría Internacional en Comunicación, S.C.",no,no,no,no,no,no,no,si
2024,P10,AT&T NETWORK INTEGRATION,no,no,no,no,no,no,no,si
2024,P10,"AVNET DE MEXICO, S.A. DE C.V.",no,no,no,no,no,no,no,si
2024,P10,BBG COMUNICACION SA DE CV,no,no,no,no,no,no,no,si
2024,P10,BLACKHAWK NETWORK MEXICO S DE RL DE CV,no,no,no,no,no,no,no,si
2024,P10,BLUE PLANET NETWORKS,no,no,no,no,no,no,no,si
2024,P10,Bt Global Networks De Mexico S. De Rl De Cv,no,no,no,no,no,no,no,si
2024,P10,cable networks sa de cv,no,no,no,no,no,no,no,si
2024,P10,CHINA TELECOM AMERICAS,no,no,no,no,no,no,no,si
2024,P10,CHUNGHWA TELECOM,no,no,no,no,no,no,no,si
2024,P10,"CIBERNETICA DE MEXICO, S.A DE C.V.",no,no,no,no,no,no,no,si
2024,P10,Cinetic Automation México S.A. De C.V.,no,no,no,no,no,no,no,si
2024,P10,COFUC NETWORKS SA DE CV,no,no,no,no,no,no,no,si
2024,P10,Columbus Networks De Mexico S. De Rl De Cv,no,no,no,no,no,no,no,si
2024,P10,"COMNET, S.A. DE C.V.",no,no,no,no,no,no,no,si
2024,P10,COMUNICACION GRAFICA DEL NORTE SA DE CV,no,no,no,no,no,no,no,si
2024,P10,COMUNICACION TECNOLOGICA S DE RL DE CV,no,no,no,no,no,no,no,si
2024,P10,"COMUNICACIONES MTEL, S.A. DE C.V.",no,no,no,no,no,no,no,si
2024,P10,COMUNICACIONES Y ENLACES DIGITALES,no,no,no,no,no,no,no,si
2024,P10,"Conectividad Y Telecomunicacion, Sa De Cv",no,no,no,no,no,no,no,si
2024,P10,"CONNECT TELECOM, S. DE R.L DE C.V.",no,no,no,no,no,no,no,si
2024,P10,"CONSULTORÍA INTEGRAL EN SISTEMAS Y TELECOMUNICACIONES, S.A. DE C.V.",no,no,no,no,no,no,no,si
2024,P10,CTC S.A de C.V,no,no,no,no,no,no,no,si
2024,P10,CUATRO NETWORKS S DE RL DE CV,no,no,no,no,no,no,no,si
2024,P10,"Dialoga Group Telecom, S.A. de C.V.",no,no,no,no,no,no,no,si
2024,P10,DIRECTO TELECOM SA DE CV,no,no,no,no,no,no,no,si
2024,P10,"Doornet, S.A. de C.V.",no,no,no,no,no,no,no,si
2024,P10,EasyNet S.A,no,no,no,no,no,no,no,si
2024,P10,EGO NET SA DE CV,no,no,no,no,no,no,no,si
2024,P10,Elara Comunicaciones Sa De Cv,no,no,no,no,no,no,no,si
2024,P10,"ENI NETWORKS, S.A.P.I. DE C.V",no,no,no,no,no,no,no,si
2024,P10,ERICSSON TELECOM S.A DE C.V.,no,no,no,no,no,no,no,si
2024,P10,"eto magnetic méxico, s. de r.l. de c.v.",no,no,no,no,no,no,no,si
2024,P10,EXPERTOS EN COMPUTO Y COMUNICACIONES S.A. DE C.V.,no,no,no,no,no,no,no,si
2024,P10,"Gbnetworks, Sa De Cv",no,no,no,no,no,no,no,si
2024,P10,GENESI NETWORKS CONSULTING S DE RL DE CV,no,no,no,no,no,no,no,si
2024,P10,"Global Networks Solutions, S.A. de C.V.",no,no,no,no,no,no,no,si
2024,P10,GLOBAL TELECOM MEXICO S.A. DE C.V.,no,no,no,no,no,no,no,si
2024,P10,"GRUPO DE TELECOMUNICACIONES DE ALTA CAPACIDAD, S.A.P.I. DE C.V..",no,no,no,no,no,no,no,si
2024,P10,Grupo Joman Telecomunicaciones S.A. De C.V. ,no,no,no,no,no,no,no,si
2024,P10,"GRUPO KONECTANET MEXICO SERVICIO, S.A. DE C.V.",no,no,no,no,no,no,no,si
2024,P10,Grupo Mass Comunicaciones S.A. de C.V.,no,no,no,no,no,no,no,si
2024,P10,Grupo Velcom Telecomunicaciones S.A. de C.V..,no,no,no,no,no,no,no,si
