C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,NA,"1,103,500.00",NA,NA,NA,NA,NA,NA
2024,P02,NA,NA,"1,037,100.00",NA,NA,NA,NA,NA,NA
2024,P03,NA,NA,"1,193,800.00",NA,NA,NA,NA,NA,NA
2024,P04,NA,NA,"1,124,980.00",NA,NA,NA,NA,NA,NA
2024,P05,NA,NA,"1,034,600.00",NA,NA,NA,NA,NA,NA
2024,P06,NA,NA,"1,034,600.00",NA,NA,NA,NA,NA,NA
2024,P07,NA,NA,"1,042,520.00",NA,NA,NA,NA,NA,NA
2024,P08,NA,NA,"1,021,860.00",NA,NA,NA,NA,NA,NA
2024,P09,NA,NA,"1,020,700.00",NA,NA,NA,NA,NA,NA
2024,P10,NA,NA,"1,050,200.00",NA,NA,NA,NA,NA,NA
2024,P11,NA,NA,"1,036,600.00",NA,NA,NA,NA,NA,NA
2024,P12,NA,NA,"1,024,600.00",NA,NA,NA,NA,NA,NA
