C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,N/A,N/A,753152,N/A,N/A,N/A,N/A,N/A,395
2024,P02,N/A,N/A,601030,N/A,N/A,N/A,N/A,N/A,1921
2024,P03,N/A,N/A,535400,N/A,N/A,N/A,N/A,N/A,N/A
2024,P04,N/A,N/A,540834,N/A,N/A,N/A,N/A,N/A,7637
2024,P05,N/A,N/A,504409,N/A,N/A,N/A,N/A,N/A,379
2024,P06,N/A,N/A,494366,N/A,N/A,N/A,N/A,N/A,13742
2024,P07,N/A,N/A,530853,N/A,N/A,N/A,N/A,N/A,N/A
2024,P08,N/A,N/A,521973,N/A,N/A,N/A,N/A,N/A,N/A
2024,P09,N/A,N/A,435980,N/A,N/A,N/A,N/A,N/A,N/A
2024,P10,N/A,N/A,479382,N/A,N/A,N/A,N/A,N/A,N/A
2024,P11,N/A,N/A,474485,N/A,N/A,N/A,N/A,N/A,N/A
2024,P12,N/A,N/A,509362,N/A,N/A,N/A,N/A,N/A,N/A
