C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,46169.07,2262284.43,NA,NA,NA,NA,0,13221.07
2024,P02,NA,44802.39,2195317.34,NA,NA,NA,NA,0,0
2024,P03,NA,44839.43,2197131.91,NA,NA,NA,NA,0,0
2024,P04,NA,45017.24,2205844.72,NA,NA,NA,NA,0,3145
2024,P05,NA,46477.29,2277387.18,NA,NA,NA,NA,152621.36,0
2024,P06,NA,46172.53,2262454.16,NA,NA,NA,NA,0,0
2024,P07,NA,46239.57,2265738.72,NA,NA,NA,NA,0,0
2024,P08,NA,44921.61,2201158.88,NA,NA,NA,NA,0,0
2024,P09,NA,42819.37,2098149.19,NA,NA,NA,NA,0,0
2024,P10,NA,44886.38,2199432.64,NA,NA,NA,NA,0,0
2024,P11,NA,46553.56,2281124.62,NA,NA,NA,NA,0,0
2024,P12,NA,48905.91,2396389.45,NA,NA,NA,NA,0,0
