C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2023,P01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,P02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,P03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,P04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,P05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,P06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,P07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,P08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,P09,NA,NA,17600,NA,NA,NA,NA,NA,NA
2023,P10,NA,NA,17800,NA,NA,NA,NA,NA,NA
2023,P11,NA,NA,17800,NA,NA,NA,NA,NA,NA
2023,P12,NA,NA,15800,NA,NA,NA,NA,NA,NA
