C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,422555,NA,NA,NA,NA,NA,NA,NA
2024,P02,NA,446721,NA,NA,NA,NA,NA,NA,NA
2024,P03,NA,297681,NA,NA,NA,NA,NA,NA,NA
2024,P04,NA,421583,NA,NA,NA,NA,NA,NA,NA
2024,P05,NA,423527,NA,NA,NA,NA,NA,NA,NA
2024,P06,NA,361441,NA,NA,NA,NA,NA,NA,NA
2024,P07,NA,339218,NA,NA,NA,NA,NA,NA,NA
2024,P08,NA,395410,NA,NA,NA,NA,NA,NA,NA
2024,P09,NA,442298,NA,NA,NA,NA,NA,NA,NA
2024,P10,NA,364798,NA,NA,NA,NA,NA,NA,NA
2024,P11,NA,480905,NA,NA,NA,NA,NA,NA,NA
2024,P12,NA,486544,NA,NA,NA,NA,NA,NA,NA
