C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,NA,"$780,560.03",NA,NA,NA,NA,NA,NA
2024,P02,NA,NA,"$630,299.60",NA,NA,NA,NA,NA,NA
2024,P03,NA,NA,"$645,543.74",NA,NA,NA,NA,NA,NA
2024,P04,NA,NA,"$795,921.06",NA,NA,NA,NA,NA,NA
2024,P05,NA,NA,"$695,269.90",NA,NA,NA,NA,NA,NA
2024,P06,NA,NA,"$600,267.49",NA,NA,NA,NA,NA,NA
2024,P07,NA,NA,"$820,988.51",NA,NA,NA,NA,NA,NA
2024,P08,NA,NA,"$880,828.63",NA,NA,NA,NA,NA,NA
2024,P09,NA,NA,"$680,136.35",NA,NA,NA,NA,NA,NA
2024,P10,NA,NA,"$790,860.54",NA,NA,NA,NA,NA,NA
2024,P11,NA,NA,"$695,308.66",NA,NA,NA,NA,NA,NA
2024,P12,NA,NA,"$780,931.73",NA,NA,NA,NA,NA,NA
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,, ,,,,,
