C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,0,346906.05,NA,NA,NA,NA,0,0
2024,P02,NA,0,321200,NA,NA,NA,NA,0,0
2024,P03,NA,0,326286.25,NA,NA,NA,NA,0,0
2024,P04,NA,0,547170.76,NA,NA,NA,NA,0,86206.9669
2024,P05,NA,0,142253.52,NA,NA,NA,NA,0,0
2024,P06,NA,0,139115.63,NA,NA,NA,NA,0,0
2024,P07,NA,0,229059.28,NA,NA,NA,NA,0,52239.77
2024,P08,NA,0,184507.02,NA,NA,NA,NA,0,0
2024,P09,NA,0,182357.46,NA,NA,NA,NA,0,0
2024,P10,NA,0,216784.59,NA,NA,NA,NA,0,0
2024,P11,NA,0,208057.4,NA,NA,NA,NA,0,0
2024,P12,NA,0,228124.78,NA,NA,NA,NA,43103.32,0
