C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,"330,373",NA,NA,NA,NA,NA,NA,NA,2
2024,P02,"326,440",NA,NA,NA,NA,NA,NA,NA,2
2024,P03,"336,273",NA,NA,NA,NA,NA,NA,NA,2
2024,P04,"342,172",NA,NA,NA,NA,NA,NA,NA,2
2024,P05,"334,306",NA,NA,NA,NA,NA,NA,NA,2
2024,P06,"342,172",NA,NA,NA,NA,NA,NA,NA,2
2024,P07,"335,486",NA,NA,NA,NA,NA,NA,NA,2
2024,P08,"338,239",NA,NA,NA,NA,NA,NA,NA,2
2024,P09,"326,440",NA,NA,NA,NA,NA,NA,NA,2
2024,P10,"299,302",NA,NA,NA,NA,NA,NA,NA,1
2024,P11,"314,641",NA,NA,NA,NA,NA,NA,NA,2
2024,P12,"307,168",NA,NA,NA,NA,NA,NA,NA,1
