C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,3800,NA,0,NA,NA,NA,NA,NA,NA
2024,P02,2500,NA,0,NA,NA,NA,NA,NA,NA
2024,P03,0,NA,13005,NA,NA,NA,NA,NA,NA
2024,P04,0,NA,3350,NA,NA,NA,NA,NA,NA
2024,P05,0,NA,34910,NA,NA,NA,NA,NA,NA
2024,P06,0,NA,31690,NA,NA,NA,NA,NA,NA
2024,P07,0,NA,32140,NA,NA,NA,NA,NA,NA
2024,P08,4900,NA,33870,NA,NA,NA,NA,NA,NA
2024,P09,0,NA,27489,NA,NA,NA,NA,NA,NA
2024,P10,0,NA,28960,NA,NA,NA,NA,NA,NA
2024,P11,0,NA,32964,NA,NA,NA,NA,NA,NA
2024,P12,0,NA,22200,NA,NA,NA,NA,NA,NA
