C601,C602,R001-0101,R001-0102,R001-0103,R001-0104,R001-0105,R001-0106,R001-0107,R001-0108,R001-0109
2024,P10,2634522824,NA,3332219608,659504818,42732252,NA,72016650,NA,55549557
2024,P11,2711662026,NA,3255180024,655526130,51585283,NA,88987097,NA,51299336
2024,P12,3072078096,NA,3400951775,653742108,46501669,NA,96039822,NA,56761242
