C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,NA,134600,NA,NA,NA,NA,NA,NA
2024,P02,NA,NA,111300,NA,NA,NA,NA,NA,NA
2024,P03,NA,NA,111300,NA,NA,NA,NA,NA,NA
2024,P04,NA,NA,128400,NA,NA,NA,NA,NA,NA
2024,P05,NA,NA,113300,NA,NA,NA,NA,NA,NA
2024,P06,NA,NA,141280,NA,NA,NA,NA,NA,NA
2024,P07,NA,NA,135690,NA,NA,NA,NA,NA,NA
2024,P08,NA,NA,139560,NA,NA,NA,NA,NA,NA
2024,P09,NA,NA,144800,NA,NA,NA,NA,NA,NA
2024,P10,NA,NA,148170,NA,NA,NA,NA,NA,NA
2024,P11,NA,NA,146460,NA,NA,NA,NA,NA,NA
2024,P12,NA,NA,122900,NA,NA,NA,NA,NA,NA
